brand,name,rating,votes,url,last_crawled,sex
Clive_Christian,Amber Absolute Oil Clive Christian,4.67,3,https://www.fragrantica.com/perfume/Clive-Christian/Amber-Absolute-Oil-52416.html,2025-11-14T20:42:10.514802,unisex
M_Micallef,Art Collection No. 7 Lace M. Micallef,4.67,3,https://www.fragrantica.com/perfume/M-Micallef/Art-Collection-No-7-Lace-44820.html,2025-11-14T22:26:32.844031,
Dior,Addict extrait de parfum,4.67,3,https://www.fragrantica.com/perfume/Dior/Dior-Addict-extrait-de-parfum-114371.html,2025-11-12T10:44:35.817954,
Xerjoff,Yacht Club de Monaco,4.66,91,https://www.fragrantica.com/perfume/Xerjoff/Yacht-Club-de-Monaco-89729.html,2025-11-07T07:42:21.157778,unisex
Guerlain,Mahora Extrait de Parfum,4.66,61,https://www.fragrantica.com/perfume/Guerlain/Mahora-Extrait-de-Parfum-33610.html,2025-11-12T21:17:34.813628,
Guerlain,L’Heure Bleue Extract,4.65,385,https://www.fragrantica.com/perfume/Guerlain/L-Heure-Bleue-Extract-33602.html,2025-11-12T11:11:56.232944,
Roja_Dove,Roja Dove Parfum Royale #2 Roja Dove,4.65,26,https://www.fragrantica.com/perfume/Roja-Dove/Roja-Dove-Parfum-Royale-2-44351.html,2025-11-07T10:19:41.125312,unisex
WIDIAN,Limited 71 Extrait de Parfum,4.64,121,https://www.fragrantica.com/perfume/WIDIAN/Limited-71-Extrait-de-Parfum-83983.html,2025-11-17T14:13:43.477822,unisex
Guerlain,Habit Rouge Légère,4.64,70,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Legere-42945.html,2025-11-12T21:37:59.163807,
Jo_Malone_London,Velvet Rose & Oud Rich Extrait Jo Malone London,4.63,62,https://www.fragrantica.com/perfume/Jo-Malone-London/Velvet-Rose-Oud-Rich-Extrait-48015.html,2025-11-17T22:18:47.371624,unisex
Guerlain,Les Quatre Saisons - Winter Delice,4.62,16,https://www.fragrantica.com/perfume/Guerlain/Les-Quatre-Saisons-Winter-Delice-3459.html,2025-11-12T21:39:14.817050,
Guerlain,Quand Vient La Pluie,4.62,131,https://www.fragrantica.com/perfume/Guerlain/Quand-Vient-La-Pluie-2618.html,2025-11-12T21:38:49.756171,
Goldfield_Banks_Australia,Silky Woods Harrods Exclusive Goldfield & Banks Australia,4.62,26,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Silky-Woods-Harrods-Exclusive-97548.html,2025-11-14T11:50:31.417888,unisex
M_Micallef,Aoud 1 M. Micallef,4.62,55,https://www.fragrantica.com/perfume/M-Micallef/Aoud-1-16006.html,2025-11-15T07:28:14.748791,
Amouage,Taifi Rose,4.62,68,https://www.fragrantica.com/perfume/Amouage/Taifi-Rose-20492.html,2025-11-06T15:32:17.215118,unisex
Dior,Tendre Poison Parfum,4.62,32,https://www.fragrantica.com/perfume/Dior/Tendre-Poison-Parfum-78485.html,2025-11-11T22:45:35.148646,
Roja_Dove,Pierre de Velay No. 1 Roja Dove,4.62,72,https://www.fragrantica.com/perfume/Roja-Dove/Pierre-de-Velay-No-1-49054.html,2025-11-07T10:18:51.261602,unisex
Dior,Homme Original,4.62,1306,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Original-69010.html,2025-11-12T09:33:50.865006,
Guerlain,Shalimar Parfum,4.61,755,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Parfum-33557.html,2025-11-12T21:19:03.033665,
Clive_Christian,1872 Twist Bergamot Clive Christian,4.6,20,https://www.fragrantica.com/perfume/Clive-Christian/1872-Twist-Bergamot-45426.html,2025-11-14T20:58:29.088950,unisex
Guerlain,Brume d'Automne,4.6,5,https://www.fragrantica.com/perfume/Guerlain/Brume-d-Automne-3460.html,2025-11-12T21:57:15.171829,
Roja_Dove,Semi-Bespoke No. 15 Roja Dove,4.6,5,https://www.fragrantica.com/perfume/Roja-Dove/Semi-Bespoke-No-15-47478.html,2025-11-07T09:44:00.596877,unisex
Roja_Dove,Roja Dove Parfum Royale #1 Roja Dove,4.6,15,https://www.fragrantica.com/perfume/Roja-Dove/Roja-Dove-Parfum-Royale-1-51875.html,2025-11-07T09:24:37.352593,unisex
Roja_Dove,Semi-Bespoke No. 17 Roja Dove,4.6,5,https://www.fragrantica.com/perfume/Roja-Dove/Semi-Bespoke-No-17-47476.html,2025-11-07T09:07:07.241420,unisex
Jean_Paul_Gaultier,Le Male Collector Edition 2017 Jean Paul Gaultier,4.6,55,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Collector-Edition-2017-47202.html,2025-11-15T18:34:52.793004,
Guerlain,Chamade Extract,4.6,162,https://www.fragrantica.com/perfume/Guerlain/Chamade-Extract-35506.html,2025-11-12T21:38:43.593546,
Jean_Paul_Gaultier,Le Male Le Parfum Jean Paul Gaultier,4.6,22292,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,2025-11-16T08:30:56.052610,
Roja_Dove,Pierre de Velay No. 56 Roja Dove,4.59,56,https://www.fragrantica.com/perfume/Roja-Dove/Pierre-de-Velay-No-56-47481.html,2025-11-07T10:19:28.436557,unisex
Clive_Christian,XXI Art Deco Cypress Clive Christian,4.59,301,https://www.fragrantica.com/perfume/Clive-Christian/XXI-Art-Deco-Cypress-50926.html,2025-11-14T20:57:52.134737,
Giorgio_Armani,Emporio Armani Stronger With You Intensely Giorgio Armani,4.59,18397,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html,2025-11-14T16:49:58.075745,
Guerlain,Habit Rouge Dress Code 2016,4.59,74,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Dress-Code-2016-40599.html,2025-11-12T21:18:30.895796,
Roja_Dove,Enigma Pour Homme Roja Dove,4.59,2057,https://www.fragrantica.com/perfume/Roja-Dove/Enigma-Pour-Homme-20559.html,2025-11-07T09:24:12.045290,
M_Micallef,Un Moka M. Micallef,4.58,12,https://www.fragrantica.com/perfume/M-Micallef/Un-Moka-40826.html,2025-11-14T22:26:14.357138,
Clive_Christian,X Twist Liquorice Clive Christian,4.58,31,https://www.fragrantica.com/perfume/Clive-Christian/X-Twist-Liquorice-67267.html,2025-11-14T20:24:00.498954,unisex
Amouage,Silver Cristal,4.58,38,https://www.fragrantica.com/perfume/Amouage/Silver-Cristal-43050.html,2025-11-06T15:52:34.444459,
Yas_Perfumes,Yas Al Malaki Yas Perfumes,4.58,36,https://www.fragrantica.com/perfume/Yas-Perfumes/Yas-Al-Malaki-28227.html,2025-11-14T08:29:57.537939,unisex
Guerlain,L’Abeille de,4.58,43,https://www.fragrantica.com/perfume/Guerlain/L-Abeille-de-Guerlain-11773.html,2025-11-12T16:27:46.573420,
Jean_Paul_Gaultier,Classique Collector's Snow Globe Jean Paul Gaultier,4.58,33,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Collector-s-Snow-Globe-57183.html,2025-11-15T17:01:21.808616,
Prada,No10 Myrrhe,4.58,33,https://www.fragrantica.com/perfume/Prada/No10-Myrrhe-3224.html,2025-11-14T11:53:12.206010,unisex
Jean_Paul_Gaultier,Le Male X-Mas Edition 2020 Jean Paul Gaultier,4.57,63,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-X-Mas-Edition-2020-64055.html,2025-11-16T08:30:44.100467,
Yas_Perfumes,Yasi Yas Perfumes,4.57,7,https://www.fragrantica.com/perfume/Yas-Perfumes/Yasi-39796.html,2025-11-14T08:27:49.021164,unisex
Clive_Christian,Blonde Amber Clive Christian,4.57,1861,https://www.fragrantica.com/perfume/Clive-Christian/Blonde-Amber-73595.html,2025-11-14T20:57:33.935679,unisex
M_Micallef,The Exception No 1 M. Micallef,4.57,7,https://www.fragrantica.com/perfume/M-Micallef/The-Exception-No-1-44756.html,2025-11-15T05:15:26.603587,unisex
Guerlain,Habit Rouge Eau de Cologne,4.57,93,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Eau-de-Cologne-36508.html,2025-11-12T12:05:05.845761,
M_Micallef,1707 Blue M. Micallef,4.57,7,https://www.fragrantica.com/perfume/M-Micallef/1707-Blue-16101.html,2025-11-15T12:30:46.205058,
Amouage,Vanilla Barka,4.57,184,https://www.fragrantica.com/perfume/Amouage/Vanilla-Barka-71111.html,2025-11-06T15:14:13.659358,unisex
Guerlain,Habit de Metal,4.57,42,https://www.fragrantica.com/perfume/Guerlain/Habit-de-Metal-2638.html,2025-11-12T17:39:05.732496,
Dior,Poison Esprit de Parfum,4.57,867,https://www.fragrantica.com/perfume/Dior/Poison-Esprit-de-Parfum-34811.html,2025-11-12T10:11:34.723992,
Roja_Dove,Semi-Bespoke No. 24 Roja Dove,4.56,55,https://www.fragrantica.com/perfume/Roja-Dove/Semi-Bespoke-No-24-56685.html,2025-11-07T09:24:00.683485,unisex
Jean_Paul_Gaultier,Scandal Collector's Snow Globe Edition Jean Paul Gaultier,4.56,36,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Collector-s-Snow-Globe-Edition-57186.html,2025-11-15T16:03:34.326872,
Guerlain,Samsara Rosée Parfumée Rafraichissante,4.56,9,https://www.fragrantica.com/perfume/Guerlain/Samsara-Rosee-Parfumee-Rafraichissante-70998.html,2025-11-12T17:57:05.339136,
Jean_Paul_Gaultier,Le Male Collector's Snow Globe Jean Paul Gaultier,4.56,62,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Collector-s-Snow-Globe-57184.html,2025-11-15T18:36:58.894637,
Le_Labo,Rose 31 Perfume Oil Le Labo,4.56,41,https://www.fragrantica.com/perfume/Le-Labo/Rose-31-Perfume-Oil-17275.html,2025-11-13T10:27:18.887677,unisex
Roja_Dove,Parfum De La Nuit No 3 Roja Dove,4.56,527,https://www.fragrantica.com/perfume/Roja-Dove/Parfum-De-La-Nuit-No-3-30775.html,2025-11-07T10:19:59.546605,unisex
Zaharoff,Basileus Precious Treasure,4.56,36,https://www.fragrantica.com/perfume/Zaharoff/Basileus-Precious-Treasure-108965.html,2025-11-15T15:19:06.554715,unisex
Clive_Christian,X Twist Myrrh Clive Christian,4.56,25,https://www.fragrantica.com/perfume/Clive-Christian/X-Twist-Myrrh-45298.html,2025-11-14T20:22:58.087841,unisex
Le_Labo,The Noir 29 Perfume Oil Le Labo,4.56,16,https://www.fragrantica.com/perfume/Le-Labo/The-Noir-29-Perfume-Oil-71926.html,2025-11-13T10:28:35.214968,unisex
Tauer_Perfumes,Attar AT Tauer Perfumes,4.56,149,https://www.fragrantica.com/perfume/Tauer-Perfumes/Attar-AT-51352.html,2025-11-19T15:25:09.986795,unisex
Guerlain,Eau de Verveine,4.56,9,https://www.fragrantica.com/perfume/Guerlain/Eau-de-Verveine-24795.html,2025-11-12T21:38:25.988332,unisex
Xerjoff,Homme Anniversary,4.56,285,https://www.fragrantica.com/perfume/Xerjoff/Homme-Anniversary-94591.html,2025-11-07T06:42:43.812690,unisex
Guerlain,Chypre de Paris,4.56,9,https://www.fragrantica.com/perfume/Guerlain/Chypre-de-Paris-41629.html,2025-11-12T22:57:50.443980,unisex
Spirit_Of_Kings,Loyalty Spirit Of Kings,4.55,33,https://www.fragrantica.com/perfume/Spirit-Of-Kings/Loyalty-76957.html,2025-11-21T15:55:00.537766,unisex
Dior,Dune Esprit de Parfum,4.55,166,https://www.fragrantica.com/perfume/Dior/Dune-Esprit-de-Parfum-29213.html,2025-11-11T23:17:59.832557,
Dior,Homme Parfum,4.55,9634,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html,2025-11-11T22:46:18.365386,
Xerjoff,Warda Al Oud,4.55,121,https://www.fragrantica.com/perfume/Xerjoff/Warda-Al-Oud-16453.html,2025-11-06T23:49:07.245090,unisex
