brand,total_fragrances,qualified_fragrances,total_votes,R,Weighted_Rating,Consistency_Score
V Canto,50,35,9476,3.957,3.972,28.6
M. Micallef,187,89,31385,3.962,3.967,32.6
Dana,6,6,4329,3.931,3.966,16.7
Gucci,135,125,196225,3.96,3.961,40.8
Burberry,104,89,173189,3.957,3.958,47.2
4711,81,46,17264,3.946,3.956,28.3
Les Bains Guerbois,13,12,3614,3.909,3.956,25.0
Ex Nihilo,77,47,33078,3.946,3.951,46.8
Atelier des Ors,31,25,15562,3.933,3.945,28.0
Maison Martin Margiela,40,38,117574,3.941,3.943,23.7
Chloé,5,5,27487,3.928,3.936,20.0
Lancôme,203,154,238208,3.925,3.926,53.9
Kenzo,169,152,134861,3.922,3.924,28.3
Byredo,86,63,111327,3.918,3.92,31.7
DS&Durga,116,49,21258,3.905,3.916,32.7
Nomenclature,18,12,1958,3.791,3.916,8.3
Ormaie,14,10,1857,3.767,3.907,10.0
Malin+Goetz,17,9,3445,3.825,3.903,11.1
Phlur,45,41,19213,3.88,3.895,22.0
Escentric Molecules,25,18,39496,3.884,3.891,33.3
Davidoff,109,83,62044,3.877,3.882,33.7
Moschino,27,28,77014,3.87,3.874,21.4
Montale,164,162,151610,3.856,3.858,14.8
Tiziana Terenzi,126,78,48798,3.81,3.819,41.0
Gallivant,19,14,3048,3.678,3.818,7.1
Zoologist Perfumes,47,46,43753,3.805,3.815,6.5
Calvin Klein,196,178,213772,3.812,3.814,24.2
Etat Libre d'Orange,56,55,88493,3.809,3.814,14.5
Yves Rocher,285,232,147997,3.804,3.807,18.5
Vilhelm Parfumerie,35,34,30778,3.768,3.784,2.9
Akro,15,15,14408,3.716,3.754,6.7
Imaginary Authors,37,34,28550,3.733,3.752,11.8
Franck Boclet,53,48,18593,3.722,3.752,10.4
Juliette Has A Gun,38,37,78813,3.72,3.728,8.1
